E_γ[eV]  opacity[cm^2/g]
2.5788e+0 1.5029e+2
2.6012e+0 1.5029e+2
2.6068e+0 1.2609e+2
2.6068e+0 1.6208e+2
2.6215e+0 1.0748e+2
2.6638e+0 9.6625e+1
2.6676e+0 1.1056e+2
2.6894e+0 1.3728e+2
2.6927e+0 1.6833e+2
2.7077e+0 1.0804e+2
2.7161e+0 1.2923e+2
2.7161e+0 1.4583e+2
2.7363e+0 9.1706e+1
2.7815e+0 8.6940e+1
2.7851e+0 9.7884e+1
2.8288e+0 1.2693e+2
2.8301e+0 9.8854e+1
2.8301e+0 1.1113e+2
2.8321e+0 9.0404e+1
2.8732e+0 8.8604e+1
2.8768e+0 9.9339e+1
2.8982e+0 1.1570e+2
2.8982e+0 1.2926e+2
2.9057e+0 1.4852e+2
2.9107e+0 1.6964e+2
2.9107e+0 1.8573e+2
2.9107e+0 2.0958e+2
2.9107e+0 2.3650e+2
2.9158e+0 3.0665e+2
2.9170e+0 2.6890e+2
2.9297e+0 3.5558e+2
2.9297e+0 4.0125e+2
2.9297e+0 4.6902e+2
2.9641e+0 3.2088e+2
2.9744e+0 3.6650e+2
2.9744e+0 3.9925e+2
2.9808e+0 4.5109e+2
2.9808e+0 5.0711e+2
2.9836e+0 5.9811e+2
2.9937e+0 7.0166e+2
2.9937e+0 7.5670e+2
2.9937e+0 8.7566e+2
3.0263e+0 2.8929e+2
3.0263e+0 3.2644e+2
3.0263e+0 3.6836e+2
3.0263e+0 4.1567e+2
3.0263e+0 4.6906e+2
3.0263e+0 5.2930e+2
3.0263e+0 6.1250e+2
3.0263e+0 7.4538e+2
3.0289e+0 2.2333e+2
3.0328e+0 2.5316e+2
3.0394e+0 1.5340e+2
3.0394e+0 1.7311e+2
3.0394e+0 1.9534e+2
3.0460e+0 1.3680e+2
3.0592e+0 1.0623e+2
3.0631e+0 1.2243e+2
3.0747e+0 9.5091e+1
3.0924e+0 1.6966e+2
3.0991e+0 1.8576e+2
3.1036e+0 1.5035e+2
3.1058e+0 1.2798e+2
3.1126e+0 1.1370e+2
3.1227e+0 9.7029e+1
3.1238e+0 7.7750e+1
3.1261e+0 8.5339e+1
3.1437e+0 7.1086e+1
3.1669e+0 9.5578e+1
3.1737e+0 8.4700e+1
3.1806e+0 6.2618e+1
3.1806e+0 7.3935e+1
3.2082e+0 5.3571e+1
3.2544e+0 4.8735e+1
3.2855e+0 4.8442e+1
3.3069e+0 5.2243e+1
3.3092e+0 6.0152e+1
3.3140e+0 9.8520e+1
3.3212e+0 7.0136e+1
3.3212e+0 8.2189e+1
3.3428e+0 6.0762e+1
3.3500e+0 5.3847e+1
3.3660e+0 4.6721e+1
3.4085e+0 4.7005e+1
3.4233e+0 6.4550e+1
3.4264e+0 5.4552e+1
3.4307e+0 7.0673e+1
3.4431e+0 8.1578e+1
3.4530e+0 9.1363e+1
3.4562e+0 1.0467e+2
3.4725e+0 1.2247e+2
3.5057e+0 8.3872e+1
3.5133e+0 1.3429e+2
3.5133e+0 1.5154e+2
3.5133e+0 1.7100e+2
3.5133e+0 2.4021e+2
3.5165e+0 9.7899e+1
3.5165e+0 2.0169e+2
3.5285e+0 1.1723e+2
3.5515e+0 1.3329e+2
3.5515e+0 1.5040e+2
3.5515e+0 1.6972e+2
3.5592e+0 1.0467e+2
3.5669e+0 9.2761e+1
3.5699e+0 7.0680e+1
3.5746e+0 8.0972e+1
3.5901e+0 5.6780e+1
3.5947e+0 6.4558e+1
3.6370e+0 7.7388e+1
3.6422e+0 9.0006e+1
3.6448e+0 5.5231e+1
3.6527e+0 6.0091e+1
3.6575e+0 6.8997e+1
3.7004e+0 8.2834e+1
3.7020e+0 9.4466e+1
3.7044e+0 6.4320e+1
3.7213e+0 7.3741e+1
3.7569e+0 1.7495e+2
3.7650e+0 8.7335e+1
3.7650e+0 9.8551e+1
3.7650e+0 1.1121e+2
3.7650e+0 1.2549e+2
3.7650e+0 1.8867e+2
3.7685e+0 1.4849e+2
3.7825e+0 7.5093e+1
3.8224e+0 6.9896e+1
3.8307e+0 8.2218e+1
3.8307e+0 9.1387e+1
3.8307e+0 1.0312e+2
3.8357e+0 1.1814e+2
3.8445e+0 1.3065e+2
3.8529e+0 1.5043e+2
3.8690e+0 1.7182e+2
3.8976e+0 1.9893e+2
3.8976e+0 2.2448e+2
3.8976e+0 2.5331e+2
3.9012e+0 3.0007e+2
3.9026e+0 1.1958e+2
3.9144e+0 3.5583e+2
3.9144e+0 4.0153e+2
3.9144e+0 4.5310e+2
3.9144e+0 5.1130e+2
3.9195e+0 1.3741e+2
3.9272e+0 1.7497e+2
3.9286e+0 1.5350e+2
3.9399e+0 2.0974e+2
3.9399e+0 2.3667e+2
3.9399e+0 2.6707e+2
3.9399e+0 3.0137e+2
3.9433e+0 8.1976e+1
3.9485e+0 9.6598e+1
3.9713e+0 7.2867e+1
3.9713e+0 1.1638e+2
3.9914e+0 1.3332e+2
4.0174e+0 8.3479e+1
4.0211e+0 9.8567e+1
4.0211e+0 1.5982e+2
4.0261e+0 1.9745e+2
4.0348e+0 7.4540e+1
4.0435e+0 1.1464e+2
4.0479e+0 1.3233e+2
4.0540e+0 6.4188e+1
4.0610e+0 8.7351e+1
4.0610e+0 9.8570e+1
4.0610e+0 1.5982e+2
4.0645e+0 4.6602e+1
4.0654e+0 5.4281e+1
4.0875e+0 3.6378e+1
4.0928e+0 4.2054e+1
4.1141e+0 7.2325e+1
4.1230e+0 3.4505e+1
4.1408e+0 5.0717e+1
4.1447e+0 6.0013e+1
4.1618e+0 3.7119e+1
4.1626e+0 4.2862e+1
4.1768e+0 6.9648e+1
4.1768e+0 7.8593e+1
4.1828e+0 9.0948e+1
4.1859e+0 1.5508e+2
4.1949e+0 1.3743e+2
4.2040e+0 1.0685e+2
4.2040e+0 1.2057e+2
4.2131e+0 5.1104e+1
4.2192e+0 5.9585e+1
4.2222e+0 3.9831e+1
4.2222e+0 4.4947e+1
4.2222e+0 9.2800e+1
4.2314e+0 3.5298e+1
4.2314e+0 7.1786e+1
4.2314e+0 8.1006e+1
4.2359e+0 3.0465e+1
4.2681e+0 2.6360e+1
4.3220e+0 2.3550e+1
4.3993e+0 2.2103e+1
4.4761e+0 2.0808e+1
4.5542e+0 1.9663e+1
4.6337e+0 1.8793e+1
4.7145e+0 1.8029e+1
4.7968e+0 1.7296e+1
4.8805e+0 1.6719e+1
4.9657e+0 1.6161e+1
5.0523e+0 1.5681e+1
5.1405e+0 1.5389e+1
5.2280e+0 1.5204e+1
5.3215e+0 1.4932e+1
5.4214e+0 1.4753e+1
5.5088e+0 1.5103e+1
5.5447e+0 1.7108e+1
5.6050e+0 1.4599e+1
5.6782e+0 1.3102e+1
5.7773e+0 1.2939e+1
5.8835e+0 1.3094e+1
5.9548e+0 1.4492e+1
5.9884e+0 1.2959e+1
6.0588e+0 1.1642e+1
6.0907e+0 1.3095e+1
6.1912e+0 1.2965e+1
6.2136e+0 1.1850e+1
6.2225e+0 2.0104e+1
6.2315e+0 1.7113e+1
6.2450e+0 1.5051e+1
6.3074e+0 1.3040e+1
6.3265e+0 1.1599e+1
6.3953e+0 1.5052e+1
6.4092e+0 1.3040e+1
6.4369e+0 1.1469e+1
6.4957e+0 1.0057e+1
6.5919e+0 1.0989e+1
6.6033e+0 9.6120e+0
6.6925e+0 9.0079e+0
6.7945e+0 8.9405e+0
6.8181e+0 9.8182e+0
6.8833e+0 1.0557e+1
6.9191e+0 9.0770e+0
6.9671e+0 8.3158e+0
7.0236e+0 9.7402e+0
7.0795e+0 8.1668e+0
7.1927e+0 8.1671e+0
7.2437e+0 9.4416e+0
7.2656e+0 1.0244e+1
7.2656e+0 1.1301e+1
7.2724e+0 1.3329e+1
7.2814e+0 1.6361e+1
7.2814e+0 1.9910e+1
7.3605e+0 8.6926e+0
7.3605e+0 1.0244e+1
7.3978e+0 7.8848e+0
7.4959e+0 8.8850e+0
7.5052e+0 1.0559e+1
7.5052e+0 1.2280e+1
7.5649e+0 7.6892e+0
7.6693e+0 8.2303e+0
7.6759e+0 7.0233e+0
7.7192e+0 6.4150e+0
7.8612e+0 6.5410e+0
7.9806e+0 6.2813e+0
8.1279e+0 6.2518e+0
8.1833e+0 9.3592e+0
8.1904e+0 8.0472e+0
8.2069e+0 6.9192e+0
