E_γ[eV]  opacity[cm^2/g]
1.7330e+0 1.0618e+3
1.7527e+0 9.0127e+2
1.7725e+0 7.7869e+2
1.7926e+0 6.6686e+2
1.8129e+0 5.5857e+2
1.8335e+0 4.1758e+2
1.8438e+0 3.5603e+2
1.8542e+0 3.0176e+2
1.8594e+0 2.5957e+2
1.8699e+0 2.1455e+2
1.8804e+0 1.7345e+2
1.8910e+0 1.3961e+2
1.9035e+0 1.1320e+2
1.9070e+0 9.3703e+1
1.9106e+0 7.6203e+1
1.9213e+0 5.7391e+1
1.9232e+0 6.8113e+1
1.9321e+0 4.2968e+1
1.9340e+0 5.1298e+1
1.9448e+0 3.2939e+1
1.9448e+0 3.7956e+1
1.9503e+0 2.8250e+1
1.9557e+0 2.3944e+1
1.9612e+0 2.0414e+1
1.9667e+0 1.7405e+1
1.9723e+0 1.4665e+1
1.9778e+0 1.2430e+1
1.9833e+0 1.0535e+1
1.9889e+0 8.8764e+0
1.9945e+0 7.5680e+0
1.9982e+0 6.2646e+0
2.0114e+0 5.5012e+0
2.0170e+0 4.6903e+0
2.0284e+0 3.9989e+0
2.0572e+0 3.5168e+0
2.1042e+0 3.8597e+0
2.1463e+0 4.4740e+0
2.1830e+0 5.2476e+0
2.2203e+0 6.1459e+0
2.2583e+0 7.3375e+0
2.2970e+0 8.7730e+0
2.3231e+0 1.0169e+1
2.3562e+0 1.1580e+1
2.3897e+0 1.3503e+1
2.4306e+0 1.5744e+1
2.4722e+0 1.8142e+1
2.5144e+0 2.0660e+1
2.5647e+0 2.3217e+1
2.6233e+0 2.5481e+1
2.6833e+0 2.6872e+1
2.7369e+0 2.9799e+1
2.7524e+0 3.4746e+1
2.7525e+0 3.8643e+1
2.7681e+0 4.5931e+1
2.7760e+0 5.4112e+1
2.7839e+0 6.6050e+1
2.7840e+0 7.8506e+1
2.7919e+0 8.5780e+1
2.7998e+0 1.0378e+2
2.8078e+0 1.2226e+2
2.8079e+0 1.4089e+2
2.8159e+0 1.6970e+2
2.8239e+0 2.0081e+2
2.8320e+0 2.4295e+2
2.8400e+0 2.8622e+2
2.8401e+0 3.2981e+2
2.8563e+0 4.0436e+2
2.8644e+0 4.8062e+2
2.8807e+0 5.9537e+2
2.9135e+0 7.1925e+2
2.9382e+0 5.9714e+2
2.9548e+0 4.9139e+2
2.9714e+0 3.9029e+2
2.9881e+0 2.4840e+2
2.9881e+0 2.8623e+2
2.9964e+0 2.0929e+2
3.0019e+0 1.3125e+2
3.0048e+0 1.5394e+2
3.0048e+0 1.7739e+2
3.0216e+0 8.1343e+1
3.0216e+0 9.3732e+1
3.0245e+0 1.1190e+2
3.0300e+0 6.9763e+1
3.0355e+0 4.2981e+1
3.0385e+0 5.1314e+1
3.0385e+0 5.9129e+1
3.0555e+0 2.9105e+1
3.0555e+0 3.3538e+1
3.0556e+0 3.8646e+1
3.0597e+0 2.4057e+1
3.0726e+0 1.8038e+1
3.0726e+0 2.0785e+1
3.0812e+0 1.6076e+1
3.0899e+0 1.4075e+1
3.0985e+0 1.2287e+1
